Dates,NIFTY200_MOMENTUM30,NIFTY_100,NIFTY_SMALLCAP_250
2018-04-24,12687,13861,7929
2018-04-25,12623,13808,7840
2018-04-26,12682,13856,7852
2018-04-27,12729,13952,7886
2018-04-30,12778,14016,7967
2018-05-02,12570,13967,7881
2018-05-03,12461,13898,7807
2018-05-04,12443,13816,7788
2018-05-07,12637,13940,7834
2018-05-08,12555,13937,7870
2018-05-09,12542,13953,7852
2018-05-10,12430,13900,7729
2018-05-11,12542,14000,7708
2018-05-14,12422,13990,7623
2018-05-15,12400,13977,7553
2018-05-16,12439,13908,7561
2018-05-17,12449,13843,7618
2018-05-18,12350,13719,7470
2018-05-21,12165,13601,7289
2018-05-22,12268,13649,7373
2018-05-23,12115,13521,7352
2018-05-24,12072,13617,7354
2018-05-25,12327,13764,7452
2018-05-28,12454,13889,7563
2018-05-29,12408,13826,7549
2018-05-30,12435,13799,7533
2018-05-31,12480,13940,7477
2018-06-01,12362,13876,7359
2018-06-04,12271,13785,7178
2018-06-05,12222,13725,6984
2018-06-06,12384,13857,7095
2018-06-07,12501,13977,7246
2018-06-08,12535,13984,7301
2018-06-11,12543,14007,7331
2018-06-12,12625,14083,7377
2018-06-13,12599,14095,7360
2018-06-14,12648,14054,7349
2018-06-15,12625,14050,7304
2018-06-18,12565,14020,7248
2018-06-19,12448,13906,7151
2018-06-20,12537,13974,7164
2018-06-21,12468,13931,7102
2018-06-22,12572,14031,7103
2018-06-25,12551,13938,7046
2018-06-26,12545,13949,6989
2018-06-27,12429,13819,6848
2018-06-28,12275,13704,6740
2018-06-29,12420,13879,6881
2018-07-02,12387,13798,6818
2018-07-03,12462,13854,6850
2018-07-04,12525,13930,6881
2018-07-05,12403,13904,6844
2018-07-06,12426,13941,6880
2018-07-09,12549,14046,6991
2018-07-10,12607,14172,7065
2018-07-11,12622,14159,7039
2018-07-12,12670,14240,7041
2018-07-13,12690,14226,6914
2018-07-16,12590,14091,6732
2018-07-17,12627,14193,6807
2018-07-18,12464,14142,6740
2018-07-19,12416,14117,6683
2018-07-20,12560,14187,6709
2018-07-23,12609,14303,6764
2018-07-24,12644,14407,6918
2018-07-25,12596,14402,6943
2018-07-26,12594,14463,6974
2018-07-27,12712,14604,7045
2018-07-30,12737,14671,7077
2018-07-31,12907,14720,7089
2018-08-01,12948,14715,7097
2018-08-02,12884,14598,7095
2018-08-03,12955,14742,7196
2018-08-06,12908,14775,7222
2018-08-07,12944,14776,7188
2018-08-08,13064,14848,7209
2018-08-09,13076,14880,7245
2018-08-10,13049,14819,7171
2018-08-13,13068,14715,7105
2018-08-14,13209,14824,7127
2018-08-16,13168,14753,7104
2018-08-17,13306,14879,7173
2018-08-20,13356,14996,7189
2018-08-21,13378,15026,7221
2018-08-23,13471,15051,7210
2018-08-24,13403,15022,7193
2018-08-27,13557,15190,7240
2018-08-28,13610,15240,7255
2018-08-29,13622,15202,7274
2018-08-30,13558,15193,7320
2018-08-31,13608,15210,7361
2018-09-03,13448,15085,7352
2018-09-04,13259,14952,7199
2018-09-05,13210,14891,7180
2018-09-06,13280,14976,7221
2018-09-07,13416,15057,7254
2018-09-10,13173,14854,7171
2018-09-11,12994,14648,7074
2018-09-12,13070,14751,7057
2018-09-14,13264,14949,7151
2018-09-17,13149,14779,7161
2018-09-18,13130,14639,7043
2018-09-19,13054,14581,6985
2018-09-21,12812,14439,6764
2018-09-24,12580,14183,6594
2018-09-25,12705,14312,6537
2018-09-26,12694,14302,6533
2018-09-27,12601,14184,6394
2018-09-28,12479,14108,6142
2018-10-01,12565,14197,6147
2018-10-03,12325,14005,6176
2018-10-04,11958,13686,6045
2018-10-05,11750,13326,5917
2018-10-08,11747,13344,5808
2018-10-09,11646,13280,5779
2018-10-10,11912,13513,5991
2018-10-11,11638,13227,5886
2018-10-12,11952,13531,6035
2018-10-15,11962,13583,6110
2018-10-16,12054,13689,6204
2018-10-17,11860,13502,6058
2018-10-19,11730,13318,5992
2018-10-22,11570,13245,5888
2018-10-23,11406,13114,5811
2018-10-24,11545,13207,5853
2018-10-25,11450,13081,5797
2018-10-26,11352,12976,5784
2018-10-29,11524,13266,5912
2018-10-30,11509,13216,5981
2018-10-31,11761,13458,6055
2018-11-01,11741,13464,6129
2018-11-02,11827,13686,6197
2018-11-05,11836,13660,6172
2018-11-06,11779,13657,6168
2018-11-07,11860,13746,6237
2018-11-09,11880,13740,6280
2018-11-12,11868,13603,6225
2018-11-13,11939,13720,6235
2018-11-14,11846,13715,6226
2018-11-15,11930,13769,6227
2018-11-16,11969,13849,6210
2018-11-19,12085,13951,6233
2018-11-20,11980,13807,6159
2018-11-21,11968,13758,6169
2018-11-22,11869,13663,6146
2018-11-26,11974,13784,6126
2018-11-27,12056,13847,6151
2018-11-28,12102,13890,6115
2018-11-29,12250,14050,6120
2018-11-30,12358,14083,6141
2018-12-03,12374,14097,6177
2018-12-04,12338,14076,6188
2018-12-05,12240,13952,6104
2018-12-06,11993,13720,6025
2018-12-07,12112,13832,6028
2018-12-10,11872,13568,5917
2018-12-11,12011,13664,5997
2018-12-12,12229,13916,6157
2018-12-13,12311,13995,6203
2018-12-14,12313,14017,6212
2018-12-17,12367,14126,6234
2018-12-18,12373,14158,6273
2018-12-19,12455,14250,6344
2018-12-20,12416,14222,6354
2018-12-21,12194,13978,6293
2018-12-24,12057,13849,6234
2018-12-26,12074,13931,6226
2018-12-27,12147,13990,6238
2018-12-28,12262,14103,6295
2018-12-31,12310,14114,6344
2019-01-01,12301,14163,6367
2019-01-02,12223,14014,6320
2019-01-03,12123,13865,6284
2019-01-04,12128,13931,6293
2019-01-07,12168,13980,6298
2019-01-08,12162,14013,6307
2019-01-09,12238,14073,6299
2019-01-10,12260,14043,6315
2019-01-11,12242,14006,6302
2019-01-14,12213,13929,6274
2019-01-15,12408,14110,6331
2019-01-16,12398,14115,6344
2019-01-17,12401,14132,6324
2019-01-18,12436,14114,6266
2019-01-21,12489,14170,6218
2019-01-22,12556,14133,6180
2019-01-23,12515,14019,6172
2019-01-24,12557,14041,6148
2019-01-25,12512,13939,6061
2019-01-28,12333,13772,5950
2019-01-29,12393,13764,5958
2019-01-30,12411,13763,5985
2019-01-31,12600,13976,6018
2019-02-01,12751,14064,6022
2019-02-04,12784,14069,5935
2019-02-05,12779,14081,5881
2019-02-06,12939,14245,5896
2019-02-07,12970,14275,5935
2019-02-08,12857,14103,5868
2019-02-11,12736,14025,5775
2019-02-12,12679,13952,5759
2019-02-13,12657,13892,5729
2019-02-14,12603,13848,5727
2019-02-15,12455,13794,5680
2019-02-18,12362,13687,5631
2019-02-19,12273,13649,5651
2019-02-20,12400,13819,5707
2019-02-21,12506,13898,5768
2019-02-22,12528,13914,5814
2019-02-25,12638,14021,5860
2019-02-26,12624,13970,5825
2019-02-27,12554,13945,5837
2019-02-28,12543,13947,5887
2019-03-01,12614,14050,6025
2019-03-05,12642,14224,6246
2019-03-06,12749,14312,6312
2019-03-07,12671,14309,6307
2019-03-08,12635,14285,6302
2019-03-11,12784,14477,6420
2019-03-12,12904,14635,6490
2019-03-13,12891,14671,6466
2019-03-14,12891,14669,6463
2019-03-15,12972,14762,6430
2019-03-18,13009,14807,6419
2019-03-19,13065,14892,6447
2019-03-20,13061,14873,6426
2019-03-22,13003,14790,6392
2019-03-25,12920,14652,6320
2019-03-26,13050,14815,6372
2019-03-27,12978,14769,6436
2019-03-28,13059,14926,6485
2019-03-29,13164,15015,6525
2019-04-01,13210,15071,6587
2019-04-02,13205,15107,6581
2019-04-03,13141,15022,6518
2019-04-04,13116,14970,6488
2019-04-05,13165,15055,6547
2019-04-08,13123,14979,6526
2019-04-09,13200,15062,6519
2019-04-10,13161,14958,6530
2019-04-11,13153,14978,6535
2019-04-12,13176,15039,6575
2019-04-15,13247,15101,6611
2019-04-16,13310,15221,6631
2019-04-18,13300,15174,6553
2019-04-22,13190,14961,6455
2019-04-23,13213,14937,6435
2019-04-24,13371,15118,6474
2019-04-25,13316,15013,6474
2019-04-26,13424,15140,6466
2019-04-30,13503,15124,6393
2019-05-02,13371,15088,6383
2019-05-03,13264,15065,6373
2019-05-06,13111,14913,6322
2019-05-07,13040,14790,6273
2019-05-08,12894,14613,6189
2019-05-09,12873,14543,6170
2019-05-10,12876,14512,6188
2019-05-13,12776,14332,6048
2019-05-14,12733,14418,6080
2019-05-15,12728,14337,6041
2019-05-16,12856,14449,6050
2019-05-17,12970,14633,6070
2019-05-20,13229,15165,6316
2019-05-21,13202,15015,6277
2019-05-22,13169,15061,6303
2019-05-23,13083,14977,6294
2019-05-24,13224,15231,6450
2019-05-27,13199,15332,6559
2019-05-28,13222,15345,6576
2019-05-29,13198,15254,6534
2019-05-30,13282,15351,6544
2019-05-31,13323,15338,6498
2019-06-03,13526,15547,6502
2019-06-04,13430,15465,6498
2019-06-06,13304,15225,6393
2019-06-07,13327,15256,6387
2019-06-10,13442,15320,6344
2019-06-11,13490,15379,6355
2019-06-12,13424,15297,6331
2019-06-13,13446,15317,6297
2019-06-14,13329,15194,6258
2019-06-17,13222,14995,6167
2019-06-18,13239,15019,6137
2019-06-19,13247,15008,6054
2019-06-20,13368,15209,6115
2019-06-21,13239,15083,6114
2019-06-24,13170,15058,6100
2019-06-25,13267,15171,6125
2019-06-26,13294,15244,6157
2019-06-27,13276,15247,6175
2019-06-28,13242,15185,6172
2019-07-01,13309,15281,6202
2019-07-02,13378,15337,6193
2019-07-03,13367,15355,6210
2019-07-04,13441,15396,6230
2019-07-05,13245,15216,6150
2019-07-08,12921,14893,6018
2019-07-09,12885,14900,6025
2019-07-10,12755,14821,5983
2019-07-11,12798,14932,6005
2019-07-12,12762,14902,6029
2019-07-15,12819,14952,5982
2019-07-16,12916,15057,5983
2019-07-17,12966,15090,5983
2019-07-18,12886,14969,5922
2019-07-19,12640,14745,5822
2019-07-22,12524,14667,5742
2019-07-23,12504,14643,5773
2019-07-24,12387,14551,5702
2019-07-25,12362,14544,5687
2019-07-26,12470,14598,5690
2019-07-29,12385,14467,5633
2019-07-30,12226,14324,5502
2019-07-31,12240,14378,5520
2019-08-01,12090,14202,5452
2019-08-02,12100,14233,5420
2019-08-05,11918,14066,5311
2019-08-06,12078,14179,5400
2019-08-07,11968,14066,5392
2019-08-08,12145,14292,5435
2019-08-09,12267,14392,5483
2019-08-13,11969,14145,5404
2019-08-14,12136,14286,5423
2019-08-16,12170,14313,5431
2019-08-19,12200,14323,5461
2019-08-20,12156,14268,5422
2019-08-21,12045,14138,5324
2019-08-22,11847,13915,5211
2019-08-23,11958,14030,5244
2019-08-26,12235,14321,5353
2019-08-27,12248,14399,5433
2019-08-28,12171,14323,5405
2019-08-29,12049,14214,5360
2019-08-30,12157,14324,5408
2019-09-03,11909,14029,5332
2019-09-04,11973,14079,5345
2019-09-05,11959,14093,5381
2019-09-06,12084,14212,5441
2019-09-09,12225,14283,5481
2019-09-11,12250,14333,5568
2019-09-12,12194,14271,5582
2019-09-13,12320,14389,5615
2019-09-16,12254,14305,5637
2019-09-17,12058,14063,5525
2019-09-18,12094,14101,5534
2019-09-19,11932,13932,5458
2019-09-20,12592,14680,5647
2019-09-23,12987,15084,5830
2019-09-24,12976,15073,5831
2019-09-25,12803,14873,5737
2019-09-26,12926,15044,5765
2019-09-27,12913,14978,5722
2019-09-30,12848,14913,5658
2019-10-01,12683,14765,5562
2019-10-03,12611,14697,5536
2019-10-04,12448,14515,5487
2019-10-07,12421,14433,5429
2019-10-09,12622,14670,5462
2019-10-10,12517,14569,5434
2019-10-11,12551,14656,5451
2019-10-14,12540,14711,5452
2019-10-15,12585,14825,5449
2019-10-16,12658,14882,5460
2019-10-17,12808,15061,5513
2019-10-18,12918,15174,5616
2019-10-22,12852,15102,5663
2019-10-23,12881,15128,5670
2019-10-24,12890,15097,5642
2019-10-25,12850,15092,5619
2019-10-29,13002,15359,5718
2019-10-30,13046,15438,5755
2019-10-31,13162,15482,5795
2019-11-01,13159,15496,5828
2019-11-04,13244,15549,5855
2019-11-05,13232,15507,5801
2019-11-06,13228,15569,5775
2019-11-07,13280,15633,5806
2019-11-08,13196,15494,5779
2019-11-11,13213,15505,5784
2019-11-13,13099,15412,5737
2019-11-14,13168,15438,5737
2019-11-15,13187,15466,5730
2019-11-18,13204,15452,5740
2019-11-19,13255,15508,5756
2019-11-20,13297,15587,5760
2019-11-21,13230,15544,5745
2019-11-22,13134,15478,5746
2019-11-25,13316,15686,5796
2019-11-26,13284,15632,5770
2019-11-27,13390,15718,5774
2019-11-28,13463,15796,5810
2019-11-29,13337,15673,5851
2019-12-02,13305,15663,5808
2019-12-03,13287,15587,5763
2019-12-04,13374,15645,5784
2019-12-05,13350,15601,5791
2019-12-06,13224,15470,5732
2019-12-09,13250,15481,5692
2019-12-10,13183,15369,5640
2019-12-11,13283,15438,5624
2019-12-12,13362,15523,5654
2019-12-13,13456,15673,5702
2019-12-16,13443,15625,5698
2019-12-17,13537,15759,5738
2019-12-18,13566,15830,5739
2019-12-19,13584,15881,5739
2019-12-20,13648,15907,5743
2019-12-23,13648,15896,5743
2019-12-24,13596,15841,5745
2019-12-26,13546,15734,5761
2019-12-27,13651,15882,5808
2019-12-30,13686,15895,5856
2019-12-31,13608,15783,5884
2020-01-01,13600,15798,5926
2020-01-02,13674,15929,6022
2020-01-03,13592,15862,6036
2020-01-06,13333,15556,5920
2020-01-07,13413,15638,5991
2020-01-08,13469,15608,5990
2020-01-09,13681,15850,6102
2020-01-10,13739,15902,6143
2020-01-13,13844,16001,6202
2020-01-14,13927,16042,6236
2020-01-15,13973,16029,6294
2020-01-16,14059,16044,6340
2020-01-17,14143,16045,6364
2020-01-20,14078,15881,6331
2020-01-21,14039,15809,6331
2020-01-22,13985,15736,6322
2020-01-23,14116,15843,6363
2020-01-24,14229,15939,6396
2020-01-27,14173,15779,6391
2020-01-28,14160,15703,6377
2020-01-29,14245,15798,6380
2020-01-30,14127,15654,6304
2020-01-31,13995,15553,6300
2020-02-03,13972,15210,6137
2020-02-04,14264,15559,6249
2020-02-05,14381,15715,6298
2020-02-06,14447,15794,6349
2020-02-07,14423,15763,6373
2020-02-10,14397,15681,6331
2020-02-11,14412,15759,6336
2020-02-12,14510,15864,6323
2020-02-13,14484,15831,6316
2020-02-14,14485,15739,6300
2020-02-17,14420,15643,6231
2020-02-18,14364,15576,6200
2020-02-19,14590,15768,6284
2020-02-20,14502,15720,6309
2020-02-24,14258,15393,6204
2020-02-25,14225,15343,6187
2020-02-26,14121,15179,6150
2020-02-27,14100,15123,6091
2020-02-28,13599,14569,5858
2020-03-02,13504,14487,5790
2020-03-03,13738,14725,5859
2020-03-04,13642,14650,5769
2020-03-05,13709,14684,5795
2020-03-06,13472,14326,5664
2020-03-09,12976,13634,5401
2020-03-11,12968,13628,5387
2020-03-12,12038,12490,4912
2020-03-13,12415,12949,4945
2020-03-16,11667,12009,4678
2020-03-17,11400,11736,4570
2020-03-18,10652,11095,4294
2020-03-19,10328,10817,4073
2020-03-20,11048,11415,4165
2020-03-23,9636,9960,3650
2020-03-24,9910,10194,3615
2020-03-25,10549,10827,3705
2020-03-26,10948,11272,3834
2020-03-27,10821,11292,3868
2020-03-30,10580,10851,3778
2020-03-31,11002,11271,3901
2020-04-01,10617,10849,3862
2020-04-03,10461,10638,3820
2020-04-07,11356,11534,3953
2020-04-08,11346,11517,4020
2020-04-09,11725,11984,4158
2020-04-13,11682,11848,4140
2020-04-15,11737,11784,4184
2020-04-16,11863,11873,4269
2020-04-17,12023,12204,4398
2020-04-20,11980,12190,4427
2020-04-21,11824,11845,4272
2020-04-22,12085,12099,4293
2020-04-23,12153,12247,4350
2020-04-24,11947,12036,4269
2020-04-27,12201,12215,4304
2020-04-28,12277,12322,4336
2020-04-29,12346,12537,4375
2020-04-30,12533,12920,4405
2020-05-04,11963,12206,4267
2020-05-05,11763,12084,4214
2020-05-06,11900,12174,4231
2020-05-07,11752,12074,4239
2020-05-08,11906,12148,4207
2020-05-11,11850,12152,4191
2020-05-12,11779,12101,4158
2020-05-13,11874,12333,4253
2020-05-14,11699,12050,4214
2020-05-15,11744,12034,4217
2020-05-18,11325,11626,4085
2020-05-19,11423,11698,4085
2020-05-20,11671,11942,4135
2020-05-21,11653,12008,4163
2020-05-22,11554,11913,4145
2020-05-26,11542,11904,4170
2020-05-27,11735,12229,4192
2020-05-28,11893,12457,4263
2020-05-29,12142,12611,4312
2020-06-01,12385,12917,4450
2020-06-02,12529,13103,4549
2020-06-03,12673,13208,4608
2020-06-04,12625,13180,4607
2020-06-05,12741,13343,4737
2020-06-08,12718,13372,4790
2020-06-09,12612,13223,4739
2020-06-10,12661,13301,4778
2020-06-11,12483,13030,4724
2020-06-12,12625,13129,4717
2020-06-15,12414,12932,4734
2020-06-16,12476,13050,4730
2020-06-17,12445,13014,4759
2020-06-18,12646,13258,4826
2020-06-19,12849,13454,4907
2020-06-22,12994,13566,5003
2020-06-23,13208,13781,5081
2020-06-24,13006,13573,5009
2020-06-25,12999,13556,5028
2020-06-26,12983,13665,5056
2020-06-29,12995,13569,4994
2020-06-30,12952,13556,4957
2020-07-01,12874,13701,4991
2020-07-02,12941,13860,5034
2020-07-03,13039,13938,5048
2020-07-06,13068,14123,5128
2020-07-07,13085,14173,5163
2020-07-08,13040,14061,5149
2020-07-09,13104,14190,5192
2020-07-10,13142,14134,5175
2020-07-13,13238,14179,5176
2020-07-14,13213,13939,5108
2020-07-15,13174,13942,5105
2020-07-16,13315,14087,5102
2020-07-17,13495,14302,5169
2020-07-20,13585,14449,5218
2020-07-21,13437,14610,5237
2020-07-22,13410,14566,5229
2020-07-23,13516,14677,5268
2020-07-24,13419,14630,5253
2020-07-27,13346,14544,5207
2020-07-28,13403,14747,5261
2020-07-29,13531,14647,5266
2020-07-30,13615,14547,5230
2020-07-31,13805,14536,5270
2020-08-03,13756,14321,5328
2020-08-04,13929,14565,5408
2020-08-05,13942,14573,5460
2020-08-06,14078,14703,5497
2020-08-07,14220,14723,5542
2020-08-10,14523,14816,5629
2020-08-11,14392,14866,5647
2020-08-12,14257,14849,5666
2020-08-13,14238,14855,5719
2020-08-14,14244,14698,5675
2020-08-17,14276,14783,5732
2020-08-18,14387,14963,5807
2020-08-19,14400,14993,5884
2020-08-20,14380,14883,5914
2020-08-21,14446,14956,6003
2020-08-24,14484,15064,6094
2020-08-25,14443,15073,6117
2020-08-26,14424,15165,6178
2020-08-27,14432,15185,6195
2020-08-28,14400,15291,6181
2020-08-31,13916,14908,5904
2020-09-01,14242,15026,5916
2020-09-02,14371,15124,6007
2020-09-03,14471,15128,6045
2020-09-04,14223,14871,5980
2020-09-07,14161,14888,5988
2020-09-08,14017,14832,5932
2020-09-09,14176,14784,5849
2020-09-10,14322,14998,5929
2020-09-11,14407,15033,5941
2020-09-14,14372,15003,6243
2020-09-15,14525,15116,6324
2020-09-16,14656,15219,6348
2020-09-17,14632,15107,6313
2020-09-18,14849,15100,6299
2020-09-21,14298,14746,6061
2020-09-22,14228,14613,5950
2020-09-23,14130,14583,5950
2020-09-24,13840,14168,5811
2020-09-25,14199,14498,5960
2020-09-28,14424,14743,6135
2020-09-29,14354,14728,6120
2020-09-30,14435,14769,6115
2020-10-01,14559,14977,6163
2020-10-05,14574,15081,6194
2020-10-06,14603,15269,6227
2020-10-07,14624,15351,6198
2020-10-08,14740,15470,6180
2020-10-09,14573,15554,6160
2020-10-12,14621,15565,6118
2020-10-13,14525,15561,6110
2020-10-14,14575,15620,6115
2020-10-15,14346,15256,6019
2020-10-16,14473,15367,6099
2020-10-19,14425,15509,6134
2020-10-20,14441,15540,6150
2020-10-21,14340,15582,6150
2020-10-22,14269,15534,6198
2020-10-23,14331,15591,6241
2020-10-26,14173,15378,6174
2020-10-27,14533,15546,6186
2020-10-28,14391,15352,6136
2020-10-29,14427,15298,6085
2020-10-30,14364,15265,6086
2020-11-02,14243,15302,6008
2020-11-03,14278,15478,6023
2020-11-04,14424,15606,6024
2020-11-05,14659,15880,6123
2020-11-06,14665,16051,6153
2020-11-09,14837,16306,6179
2020-11-10,14459,16485,6168
2020-11-11,14680,16644,6202
2020-11-12,14794,16591,6276
2020-11-13,14927,16643,6335
2020-11-17,14940,16847,6425
2020-11-18,14920,16927,6466
2020-11-19,14809,16722,6466
2020-11-20,14886,16849,6536
2020-11-23,15059,16947,6645
2020-11-24,15122,17105,6705
2020-11-25,14843,16847,6641
2020-11-26,14991,17013,6693
2020-11-27,15183,17004,6862
2020-12-01,15229,17193,6942
2020-12-02,15318,17217,6963
2020-12-03,15451,17264,7023
2020-12-04,15573,17415,7059
2020-12-07,15706,17547,7156
2020-12-08,15647,17588,7137
2020-12-09,15734,17744,7191
2020-12-10,15867,17695,7145
2020-12-11,15812,17742,7182
2020-12-14,15907,17801,7240
2020-12-15,15828,17806,7255
2020-12-16,15977,17950,7324
2020-12-17,16013,18011,7322
2020-12-18,16117,18037,7295
2020-12-21,15607,17463,6937
2020-12-22,15882,17653,7003
2020-12-23,16145,17846,7202
2020-12-24,16203,18023,7257
2020-12-28,16246,18185,7380
2020-12-29,16231,18252,7380
2020-12-30,16301,18318,7424
2020-12-31,16324,18321,7440
2021-01-01,16440,18382,7526
2021-01-04,16730,18550,7624
2021-01-05,16881,18665,7671
2021-01-06,16815,18600,7651
2021-01-07,16914,18600,7738
2021-01-08,17210,18872,7793
2021-01-11,17400,19037,7787
2021-01-12,17323,19120,7810
2021-01-13,17297,19106,7789
2021-01-14,17209,19155,7824
2021-01-15,16906,18931,7740
2021-01-18,16558,18712,7598
2021-01-19,16833,19026,7725
2021-01-20,17125,19181,7756
2021-01-21,17046,19098,7723
2021-01-22,16786,18829,7670
2021-01-25,16661,18659,7592
2021-01-27,16358,18319,7576
2021-01-28,16262,18139,7545
2021-01-29,15795,17873,7520
2021-02-01,16278,18678,7672
2021-02-02,16625,19144,7768
2021-02-03,16845,19318,7878
2021-02-04,17043,19478,7987
2021-02-05,17085,19494,8006
2021-02-08,17451,19739,8128
2021-02-09,17359,19732,8093
2021-02-10,17495,19739,8127
2021-02-11,17602,19838,8242
2021-02-12,17575,19833,8231
2021-02-15,17818,20036,8254
2021-02-16,17851,20045,8273
2021-02-17,17706,19936,8308
2021-02-18,17711,19846,8380
2021-02-19,17395,19655,8311
2021-02-22,17184,19276,8230
2021-02-23,17293,19330,8303
2021-02-24,17336,19657,8409
2021-02-25,17551,19805,8546
2021-02-26,17053,19100,8455
2021-03-01,17317,19389,8608
2021-03-02,17644,19613,8712
2021-03-03,17955,20027,8794
2021-03-04,17854,19844,8879
2021-03-05,17506,19643,8744
2021-03-08,17513,19662,8799
2021-03-09,17462,19804,8724
2021-03-10,17708,19907,8817
2021-03-12,17615,19719,8847
2021-03-15,17581,19592,8782
2021-03-16,17646,19583,8806
2021-03-17,17348,19316,8609
2021-03-18,17041,19100,8488
2021-03-19,17318,19341,8525
2021-03-22,17610,19358,8547
2021-03-23,17746,19480,8606
2021-03-24,17497,19139,8442
2021-03-25,17192,18828,8281
2021-03-26,17476,19066,8378
2021-03-30,17842,19462,8485
2021-03-31,17866,19294,8530
2021-04-01,18262,19536,8697
2021-04-05,18213,19253,8560
2021-04-06,18557,19332,8652
2021-04-07,18803,19511,8772
2021-04-08,19057,19594,8866
2021-04-09,19180,19553,8913
2021-04-12,18482,18830,8433
2021-04-13,18605,19077,8574
2021-04-15,18695,19181,8547
2021-04-16,18985,19252,8620
2021-04-19,18869,18912,8447
2021-04-20,19005,18852,8511
2021-04-22,19117,18980,8574
2021-04-23,19034,18910,8609
2021-04-26,19117,19086,8703
2021-04-27,19365,19297,8852
2021-04-28,19454,19554,8922
2021-04-29,19716,19592,8949
2021-04-30,19579,19280,8923
2021-05-03,19790,19307,9037
2021-05-04,19571,19141,8980
2021-05-05,19785,19323,9039
2021-05-06,20005,19460,9108
2021-05-07,20098,19581,9172
2021-05-10,20292,19744,9311
2021-05-11,20192,19647,9388
2021-05-12,19874,19475,9324
2021-05-14,19659,19414,9232
2021-05-17,19919,19728,9352
2021-05-18,20260,19977,9469
2021-05-19,20211,19909,9523
2021-05-20,20120,19768,9542
2021-05-21,20208,20086,9614
2021-05-24,20126,20134,9688
2021-05-25,20220,20140,9704
2021-05-26,20303,20240,9769
2021-05-27,20364,20294,9834
2021-05-28,20372,20407,9784
2021-05-31,20513,20625,9825
2021-06-01,20578,20613,9759
2021-06-02,20865,20669,9878
2021-06-03,21098,20830,9991
2021-06-04,21241,20822,10043
2021-06-07,21172,20917,10190
2021-06-08,21221,20915,10242
2021-06-09,21071,20768,10116
2021-06-10,21360,20936,10279
2021-06-11,21541,21018,10316
2021-06-14,21489,21022,10267
2021-06-15,21570,21096,10318
2021-06-16,21302,20951,10256
2021-06-17,21147,20840,10192
2021-06-18,21123,20813,10119
2021-06-21,21189,20912,10198
2021-06-22,21219,20959,10289
2021-06-23,21036,20836,10253
2021-06-24,21161,20940,10232
2021-06-25,21405,21039,10269
2021-06-28,21521,20997,10323
2021-06-29,21474,20922,10312
2021-06-30,21421,20880,10379
2021-07-01,21411,20840,10440
2021-07-02,21357,20878,10537
2021-07-05,21544,21023,10656
2021-07-06,21384,21008,10600
2021-07-07,21614,21090,10670
2021-07-08,21318,20919,10666
2021-07-09,21513,20881,10725
2021-07-12,21532,20886,10841
2021-07-13,21605,21016,10933
2021-07-14,21716,21065,10952
2021-07-15,21848,21159,11029
2021-07-16,21936,21174,11126
2021-07-19,21745,20959,11125
2021-07-20,21501,20801,10944
2021-07-22,21950,21075,11119
2021-07-23,21901,21112,11095
2021-07-26,21939,21080,11136
2021-07-27,21917,20973,11128
2021-07-28,21967,20944,11072
2021-07-29,22534,21028,11173
2021-07-30,22529,21022,11227
2021-08-02,22769,21189,11320
2021-08-03,22922,21494,11292
2021-08-04,22802,21619,11166
2021-08-05,22876,21655,11110
2021-08-06,22911,21598,11126
2021-08-09,22675,21608,11011
2021-08-10,22352,21622,10726
2021-08-11,22621,21617,10668
2021-08-12,22802,21723,10912
2021-08-13,22880,21916,10905
2021-08-16,22996,21957,10811
2021-08-17,22908,22034,10781
2021-08-18,22864,21999,10739
2021-08-20,22180,21820,10486
2021-08-23,22081,21862,10279
2021-08-24,22508,22039,10492
2021-08-25,22542,22068,10572
2021-08-26,22393,22083,10599
2021-08-27,22660,22200,10682
2021-08-30,23013,22506,10831
2021-08-31,23370,22780,10905
2021-09-01,23373,22741,10928
2021-09-02,23591,22954,11033
2021-09-03,23749,23076,11093
2021-09-06,23892,23133,11182
2021-09-07,23768,23104,11155
2021-09-08,23783,23122,11227
2021-09-09,23847,23157,11314
2021-09-13,24020,23151,11400
2021-09-14,24040,23190,11459
2021-09-15,24278,23362,11538
2021-09-16,24287,23514,11538
2021-09-17,23990,23435,11458
2021-09-20,23156,23159,11237
2021-09-21,23601,23374,11243
2021-09-22,23814,23373,11386
2021-09-23,24191,23725,11485
2021-09-24,23959,23731,11478
2021-09-27,23878,23725,11496
2021-09-28,23627,23578,11442
2021-09-29,23908,23517,11473
2021-09-30,23830,23410,11551
2021-10-01,23782,23323,11584
2021-10-04,24264,23557,11750
2021-10-05,24377,23722,11815
2021-10-06,23976,23490,11713
2021-10-07,24325,23690,11851
2021-10-08,24504,23800,11946
2021-10-11,24772,23875,12075
2021-10-12,24978,23953,12151
2021-10-13,25780,24182,12185
2021-10-14,26238,24416,12250
2021-10-18,26837,24580,12352
2021-10-19,26282,24463,12124
2021-10-20,25894,24229,11876
2021-10-21,25542,24109,11794
2021-10-22,25015,23992,11665
2021-10-25,24797,23976,11452
2021-10-26,25393,24195,11731
2021-10-27,25272,24150,11792
2021-10-28,24535,23675,11608
2021-10-29,24575,23482,11570
2021-11-01,25076,23815,11691
2021-11-02,24984,23774,11834
2021-11-03,25148,23729,11795
